t0,sigma_min,sigma_kv,lambda,corridor,min_zeta,kv_val,kv_ratio,danger,scale_factor,strip_width
719.6857,0.5001,0.98847,0.9998,CTR,0.03958572,0.68685285,0.057633,True,0.05189,0.48847
745.0415,0.98852,0.98852,0.0,Pre-leak,1.11781361,1.11781361,1.0,False,0.05166,0.48852
758.0524,0.50666,0.98855,0.98638,CTR,0.12344946,0.52419456,0.235503,True,0.05155,0.48855
771.2906,0.66074,0.98857,0.671,BAL,1.53534775,1.59709163,0.96134,False,0.05143,0.48857
784.76,0.9886,0.9886,0.0,Pre-leak,0.93924998,0.93924998,1.0,False,0.05132,0.4886
798.4645,0.69682,0.98862,0.59719,CHA,1.04516756,1.09485467,0.954618,False,0.05121,0.48862
826.5959,0.72963,0.98867,0.53009,CHA,0.68713739,0.74781867,0.918856,False,0.05099,0.48867
812.4085,0.98865,0.98865,0.0,Pre-leak,1.068884,1.068884,1.0,False,0.0511,0.48865
870.6621,0.60504,0.98874,0.78507,BAL,1.4794435,1.66170002,0.890319,False,0.05066,0.48874
841.0311,0.5001,0.98869,0.9998,CTR,0.02812122,0.98744556,0.028479,True,0.05087,0.48869
855.7183,0.98872,0.98872,0.0,Pre-leak,0.67920566,0.67920566,1.0,False,0.05077,0.48872
885.8668,0.98877,0.98877,0.0,Pre-leak,1.37475566,1.37475566,1.0,False,0.05055,0.48877
933.0927,0.98884,0.98884,0.0,Pre-leak,3.30213578,3.30213578,1.0,False,0.05022,0.48884
917.0775,0.98882,0.98882,0.0,Pre-leak,1.39285852,1.39285852,1.0,False,0.05033,0.48882
901.337,0.98879,0.98879,0.0,Pre-leak,0.75440303,0.75440303,1.0,False,0.05044,0.48879
949.3877,0.98886,0.98886,0.0,Pre-leak,1.67787756,1.67787756,1.0,False,0.05012,0.48886
965.9673,0.55587,0.98889,0.88572,COL,0.48311521,0.71267724,0.677888,True,0.05001,0.48889
982.8363,0.98891,0.98891,0.0,Pre-leak,0.81886903,0.81886903,1.0,False,0.04991,0.48891
1000.0,0.64117,0.98893,0.71126,BAL,0.86068479,0.94050297,0.915132,False,0.0498,0.48893
1017.4634,0.62477,0.98896,0.74481,BAL,0.95853334,1.07209028,0.894079,False,0.0497,0.48896
1035.2318,0.98898,0.98898,0.0,Pre-leak,1.6937086,1.6937086,1.0,False,0.04959,0.48898
1090.4204,0.95951,0.98905,0.06039,Pre-leak,0.70104808,0.70150049,0.999355,False,0.04928,0.48905
1128.8379,0.98909,0.98909,0.0,Pre-leak,0.65003165,0.65003165,1.0,False,0.04908,0.48909
1109.4629,0.98907,0.98907,0.0,Pre-leak,0.95715831,0.95715831,1.0,False,0.04918,0.48907
1071.7048,0.51979,0.98903,0.95954,CTR,0.28636749,0.67201762,0.426131,True,0.04939,0.48903
1148.5512,0.50995,0.98912,0.97967,CTR,0.30798421,0.87636416,0.351434,True,0.04898,0.48912
1053.3104,0.50994,0.989,0.97967,CTR,0.45092647,1.22501522,0.368099,True,0.04949,0.489
1168.6089,0.98914,0.98914,0.0,Pre-leak,1.66200205,1.66200205,1.0,False,0.04888,0.48914
1189.0167,0.57887,0.98916,0.83875,COL,0.95172138,1.20309322,0.791062,True,0.04878,0.48916
1209.781,0.53949,0.98918,0.91928,CTR,0.29162906,0.52005546,0.560765,True,0.04868,0.48918
1230.9079,0.86447,0.9892,0.25498,BRT,0.9518685,0.96058305,0.990928,False,0.04858,0.4892
1252.4038,0.98923,0.98923,0.0,Pre-leak,2.35399379,2.35399379,1.0,False,0.04848,0.48923
1296.5282,0.98927,0.98927,0.0,Pre-leak,1.61717915,1.61717915,1.0,False,0.04829,0.48927
1274.275,0.51651,0.98925,0.96625,CTR,0.22441773,0.56986166,0.393811,True,0.04838,0.48925
1389.4955,0.51323,0.98936,0.97296,CTR,0.45859555,1.11269055,0.41215,True,0.0479,0.48936
1438.4499,0.84491,0.9894,0.29524,BRT,0.50503901,0.51914794,0.972823,False,0.04771,0.4894
1463.5701,0.98942,0.98942,0.0,Pre-leak,0.95221478,0.95221478,1.0,False,0.04761,0.48942
1489.129,0.54279,0.98944,0.91257,CTR,0.36073704,0.60120988,0.600018,True,0.04752,0.48944
1342.2072,0.98931,0.98931,0.0,Pre-leak,1.61381947,1.61381947,1.0,False,0.04809,0.48931
1365.6467,0.57234,0.98933,0.85217,COL,0.66033474,0.85318095,0.773968,True,0.048,0.48933
1319.17,0.65441,0.98929,0.68442,BAL,0.46495021,0.53836532,0.863633,False,0.04819,0.48929
1413.7608,0.5198,0.98938,0.95954,CTR,0.93356655,1.85050661,0.504492,True,0.0478,0.48938
1515.1343,0.98946,0.98946,0.0,Pre-leak,2.20830823,2.20830823,1.0,False,0.04743,0.48946
1541.5937,0.56907,0.98948,0.85888,COL,0.91837542,1.19489845,0.76858,True,0.04733,0.48948
1568.5152,0.9895,0.9895,0.0,Pre-leak,1.88812733,1.88812733,1.0,False,0.04724,0.4895
1595.9068,0.98952,0.98952,0.0,Pre-leak,2.75018535,2.75018535,1.0,False,0.04715,0.48952
1623.7767,0.98954,0.98954,0.0,Pre-leak,2.72238133,2.72238133,1.0,False,0.04706,0.48954
1652.1334,0.98299,0.98956,0.01342,Pre-leak,0.9902511,0.99026729,0.999984,False,0.04696,0.48956
1680.9853,0.98958,0.98958,0.0,Pre-leak,0.8099281,0.8099281,1.0,False,0.04687,0.48958
1710.341,0.9896,0.9896,0.0,Pre-leak,1.29532069,1.29532069,1.0,False,0.04678,0.4896
1801.52,0.66767,0.98966,0.65758,BAL,0.94964436,1.01628777,0.934425,False,0.04651,0.48966
1770.5994,0.77608,0.98964,0.43615,CHA,0.42828291,0.46300284,0.925011,False,0.0466,0.48964
1740.2094,0.50339,0.98962,0.99309,CTR,0.42255837,1.63359473,0.258668,True,0.04669,0.48962
1864.9908,0.9897,0.9897,0.0,Pre-leak,1.03713211,1.03713211,1.0,False,0.04633,0.4897
1832.9807,0.5001,0.98968,0.9998,CTR,0.00646428,0.45631469,0.014166,True,0.04642,0.48968
1897.5599,0.50667,0.98972,0.98638,CTR,0.22763015,0.82904194,0.27457,True,0.04625,0.48972
1930.6977,0.98974,0.98974,0.0,Pre-leak,1.54865806,1.54865806,1.0,False,0.04616,0.48974
1964.4143,0.50996,0.98976,0.97967,CTR,0.1791508,0.58525193,0.306109,True,0.04607,0.48976
1998.7196,0.98978,0.98978,0.0,Pre-leak,0.75118391,0.75118391,1.0,False,0.04598,0.48978
2033.6241,0.9898,0.9898,0.0,Pre-leak,0.93819254,0.93819254,1.0,False,0.0459,0.4898
2142.0375,0.66774,0.98986,0.65758,BAL,0.35874658,0.45611426,0.786528,False,0.04564,0.48986
2069.1381,0.98982,0.98982,0.0,Pre-leak,1.19101216,1.19101216,1.0,False,0.04581,0.48982
2105.2723,0.52968,0.98984,0.93941,CTR,0.56096855,1.00927173,0.555815,True,0.04572,0.48984
2179.4448,0.72362,0.98988,0.54351,CHA,0.95695319,0.96185377,0.994905,False,0.04555,0.48988
2217.5053,0.50339,0.9899,0.99309,CTR,0.16877069,0.76834281,0.219655,True,0.04547,0.4899
2256.2305,0.98991,0.98991,0.0,Pre-leak,1.56868091,1.56868091,1.0,False,0.04538,0.48991
2295.6319,0.98993,0.98993,0.0,Pre-leak,1.14203309,1.14203309,1.0,False,0.0453,0.48993
2335.7215,0.53955,0.98995,0.91928,CTR,0.11595112,0.3675227,0.315494,True,0.04521,0.48995
2376.5111,0.58558,0.98997,0.82533,COL,0.82213978,0.9894071,0.830942,True,0.04513,0.48997
2418.0131,0.69408,0.98999,0.6039,BAL,0.86011121,0.90762925,0.947646,False,0.04505,0.48999
2460.2398,0.99001,0.99001,0.0,Pre-leak,0.92399364,0.92399364,1.0,False,0.04496,0.49001
2503.204,0.5001,0.99003,0.9998,CTR,0.12553429,1.0740208,0.116883,True,0.04488,0.49003
2546.9184,0.59217,0.99004,0.81191,COL,1.21700134,1.39074511,0.875071,True,0.0448,0.49004
2591.3963,0.5856,0.99006,0.82533,COL,1.45240032,1.64206825,0.884494,True,0.04472,0.49006
2636.6509,0.99008,0.99008,0.0,Pre-leak,1.49244985,1.49244985,1.0,False,0.04464,0.49008
2682.6958,0.9901,0.9901,0.0,Pre-leak,3.40393469,3.40393469,1.0,False,0.04456,0.4901
2729.5448,0.58232,0.99012,0.83204,COL,1.12071671,1.32877241,0.843423,True,0.04448,0.49012
2777.2119,0.80596,0.99013,0.37576,CHA,0.53718034,0.55637586,0.965499,False,0.0444,0.49013
2875.058,0.65469,0.99017,0.68442,BAL,0.57639839,0.70796071,0.814167,False,0.04424,0.49017
2976.3514,0.61194,0.99021,0.77165,BAL,0.47923736,0.57647477,0.831324,False,0.04408,0.49021
3028.3287,0.51655,0.99022,0.96625,CTR,0.56405536,1.20317688,0.468805,True,0.044,0.49022
2825.7115,0.59877,0.99015,0.79849,BAL,1.06373599,1.18341032,0.898873,False,0.04431,0.49015
2925.2663,0.5001,0.99019,0.9998,CTR,0.01907652,0.64516868,0.029568,True,0.04416,0.49019
3081.2136,0.99024,0.99024,0.0,Pre-leak,1.68772712,1.68772712,1.0,False,0.04392,0.49024
3135.0221,0.99026,0.99026,0.0,Pre-leak,1.88236841,1.88236841,1.0,False,0.04384,0.49026
3189.7702,0.99027,0.99027,0.0,Pre-leak,1.76997812,1.76997812,1.0,False,0.04376,0.49027
3245.4745,0.99029,0.99029,0.0,Pre-leak,1.46976968,1.46976968,1.0,False,0.04369,0.49029
3359.8183,0.50339,0.99033,0.99309,CTR,0.05852597,0.37758014,0.155003,True,0.04353,0.49033
3418.4921,0.635,0.99034,0.72468,BAL,0.65950249,0.88244747,0.747356,False,0.04346,0.49034
3302.1515,0.56261,0.99031,0.87231,COL,0.51559158,0.71184185,0.724306,True,0.04361,0.49031
3538.9317,0.58236,0.99038,0.83205,COL,0.37006094,0.55569169,0.665947,True,0.0433,0.49038
3478.1907,0.99036,0.99036,0.0,Pre-leak,1.30284697,1.30284697,1.0,False,0.04338,0.49036
3727.5937,0.87525,0.99043,0.23485,BRT,0.89668455,0.90575829,0.989982,False,0.04308,0.49043
3600.7335,0.96736,0.99039,0.04697,Pre-leak,0.79132881,0.79163346,0.999615,False,0.04323,0.49039
3663.6145,0.58566,0.99041,0.82534,COL,0.43139478,0.6625992,0.651064,True,0.04315,0.49041
3858.9235,0.8654,0.99046,0.25498,BRT,0.69325185,0.70374223,0.985093,False,0.04293,0.49046
3792.6902,0.5363,0.99044,0.92599,CTR,0.14715105,0.46926139,0.31358,True,0.043,0.49044
3926.3134,0.56921,0.99048,0.85889,COL,0.75279401,0.97448472,0.772505,True,0.04285,0.49048
3994.8802,0.75352,0.99049,0.48312,CHA,0.52012693,0.56387287,0.922419,False,0.04278,0.49049
4064.6444,0.82594,0.99051,0.3355,CHA,0.67378057,0.68781339,0.979598,False,0.04271,0.49051
4135.6269,0.66138,0.99053,0.671,BAL,1.06799022,1.11537822,0.957514,False,0.04263,0.49053
4207.849,0.99054,0.99054,0.0,Pre-leak,1.36376309,1.36376309,1.0,False,0.04256,0.49054
4281.3324,0.66797,0.99056,0.65758,BAL,0.4522597,0.55567554,0.813892,False,0.04249,0.49056
4356.099,0.63177,0.99057,0.73139,BAL,0.41364676,0.54124753,0.764247,False,0.04242,0.49057
4509.5721,0.6219,0.99061,0.75152,BAL,0.35479792,0.48200785,0.736083,False,0.04227,0.49061
4668.4524,0.99064,0.99064,0.0,Pre-leak,2.09262803,2.09262803,1.0,False,0.04213,0.49064
4432.1713,0.99059,0.99059,0.0,Pre-leak,2.12790814,2.12790814,1.0,False,0.04234,0.49059
4588.3246,0.99062,0.99062,0.0,Pre-leak,1.4832314,1.4832314,1.0,False,0.0422,0.49062
4749.9794,0.99065,0.99065,0.0,Pre-leak,1.62987788,1.62987788,1.0,False,0.04206,0.49065
4832.9302,0.99067,0.99067,0.0,Pre-leak,2.33381296,2.33381296,1.0,False,0.04199,0.49067
4917.3296,0.53303,0.99068,0.9327,CTR,0.27461154,0.54830306,0.500839,True,0.04192,0.49068
5003.203,0.71083,0.9907,0.57035,CHA,1.0760416,1.19335438,0.901695,False,0.04185,0.4907
5090.5759,0.99072,0.99072,0.0,Pre-leak,0.94133775,0.94133775,1.0,False,0.04178,0.49072
5179.4747,0.78658,0.99073,0.41602,CHA,0.52862196,0.5547206,0.952952,False,0.04171,0.49073
5269.9259,0.99075,0.99075,0.0,Pre-leak,0.72253883,0.72253883,1.0,False,0.04164,0.49075
5455.5948,0.99078,0.99078,0.0,Pre-leak,1.37428243,1.37428243,1.0,False,0.0415,0.49078
5361.9568,0.50669,0.99076,0.98638,CTR,0.05696998,0.34372451,0.165743,True,0.04157,0.49076
5550.868,0.51327,0.99079,0.97296,CTR,0.28982836,0.7055708,0.410771,True,0.04143,0.49079
5647.8051,0.50998,0.99081,0.97967,CTR,0.38166208,1.11520545,0.342235,True,0.04137,0.49081
5846.7873,0.51986,0.99084,0.95954,CTR,0.64082393,1.33329196,0.480633,True,0.04123,0.49084
5746.435,0.99082,0.99082,0.0,Pre-leak,2.13424226,2.13424226,1.0,False,0.0413,0.49082
5948.8921,0.80312,0.99085,0.38247,CHA,0.86309222,0.8833406,0.977077,False,0.04116,0.49085
6052.78,0.69443,0.99087,0.6039,BAL,0.47070172,0.55963065,0.841094,False,0.0411,0.49087
6158.4821,0.52645,0.99088,0.94612,CTR,0.32626581,0.64247375,0.507827,True,0.04103,0.49088
6266.0302,0.51328,0.9909,0.97296,CTR,0.25386141,0.70711004,0.359013,True,0.04096,0.4909
6375.4564,0.57586,0.99091,0.84547,COL,0.46181958,0.68131989,0.677831,True,0.0409,0.49091
6486.7935,0.99093,0.99093,0.0,Pre-leak,0.90336646,0.90336646,1.0,False,0.04083,0.49093
6600.075,0.99094,0.99094,0.0,Pre-leak,2.6074508,2.6074508,1.0,False,0.04076,0.49094
6715.3348,0.99096,0.99096,0.0,Pre-leak,1.7418191,1.7418191,1.0,False,0.0407,0.49096
6951.928,0.99099,0.99099,0.0,Pre-leak,1.50242868,1.50242868,1.0,False,0.04057,0.49099
6832.6074,0.50998,0.99097,0.97967,CTR,0.32078044,0.89947676,0.35663,True,0.04063,0.49097
7073.3323,0.5627,0.991,0.87231,COL,0.33931592,0.6013143,0.56429,True,0.0405,0.491
7196.8567,0.53964,0.99101,0.91928,CTR,0.79287153,1.20034927,0.660534,True,0.04044,0.49101
7450.4148,0.53634,0.99104,0.92599,CTR,0.42839563,0.8709071,0.491896,True,0.04031,0.49104
7322.5383,0.50339,0.99103,0.99309,CTR,0.15591641,0.78185434,0.199419,True,0.04037,0.49103
7580.5244,0.71098,0.99106,0.57035,CHA,0.54490781,0.61149575,0.891106,False,0.04024,0.49106
7712.9061,0.5001,0.99107,0.9998,CTR,0.00355673,0.64850484,0.005485,True,0.04018,0.49107
7847.5997,0.88893,0.99109,0.20801,BRT,0.98855973,0.99090678,0.997631,False,0.04012,0.49109
7984.6455,0.9911,0.9911,0.0,Pre-leak,1.55021275,1.55021275,1.0,False,0.04005,0.4911
8124.0846,0.53964,0.99111,0.91928,CTR,0.58157186,0.8760416,0.663863,True,0.03999,0.49111
8265.9587,0.54953,0.99113,0.89915,COL,0.69616181,1.07274132,0.648956,True,0.03993,0.49113
8410.3105,0.50999,0.99114,0.97967,CTR,0.09940852,0.55709491,0.178441,True,0.03987,0.49114
8557.1831,0.99115,0.99115,0.0,Pre-leak,2.48788049,2.48788049,1.0,False,0.0398,0.49115
8706.6207,0.93514,0.99117,0.11407,BRT,0.58182375,0.58355703,0.99703,False,0.03974,0.49117
9013.3704,0.70774,0.9912,0.57706,CHA,0.99646718,1.00101105,0.995461,False,0.03962,0.4912
8858.6679,0.5001,0.99118,0.9998,CTR,0.10226217,1.05763602,0.096689,True,0.03968,0.49118
